Methode;Metric;Variablenname;Missing;Wert
rondom_forest_regression;MAE;AMT_INCOME_TOTAL;0;33178,962
rondom_forest_classification;MAE;NAME_INCOME_TYPE;80;0,000
rondom_forest_classification;MAE;NAME_INCOME_TYPE;50;0,000
rondom_forest_classification;MAE;NAME_INCOME_TYPE;25;0,000
rondom_forest_classification;MAE;NAME_INCOME_TYPE;10;0,000
rondom_forest_classification;MAE;NAME_INCOME_TYPE;0;0,000
rondom_forest_classification;MAE;CODE_GENDER;80;0,000
rondom_forest_classification;MAE;CODE_GENDER;50;0,000
rondom_forest_classification;MAE;CODE_GENDER;25;0,000
rondom_forest_classification;MAE;CODE_GENDER;10;0,000
rondom_forest_classification;MAE;CODE_GENDER;0;0,000
rondom_forest_classification;MAE;AMT_INCOME_TOTAL;80;90134,604
rondom_forest_classification;MAE;AMT_INCOME_TOTAL;50;87354,148
rondom_forest_classification;MAE;AMT_INCOME_TOTAL;25;70996,289
rondom_forest_classification;MAE;AMT_INCOME_TOTAL;10;48623,923
rondom_forest_classification;MAE;AMT_INCOME_TOTAL;0;25641,818
correlation_3;MAE;NAME_INCOME_TYPE;80;0,000
correlation_3;MAE;NAME_INCOME_TYPE;50;0,000
correlation_3;MAE;NAME_INCOME_TYPE;25;0,000
correlation_3;MAE;NAME_INCOME_TYPE;10;0,000
correlation_3;MAE;NAME_INCOME_TYPE;0;0,000
correlation_3;MAE;CODE_GENDER;80;0,000
correlation_3;MAE;CODE_GENDER;50;0,000
correlation_3;MAE;CODE_GENDER;25;0,000
correlation_3;MAE;CODE_GENDER;10;0,000
correlation_3;MAE;CODE_GENDER;0;0,000
correlation_3;MAE;AMT_INCOME_TOTAL;80;68249,159
correlation_3;MAE;AMT_INCOME_TOTAL;50;68249,159
correlation_3;MAE;AMT_INCOME_TOTAL;25;68249,159
correlation_3;MAE;AMT_INCOME_TOTAL;10;68249,159
correlation_3;MAE;AMT_INCOME_TOTAL;0;68249,159
correlation_2;MAE;NAME_INCOME_TYPE;80;0,000
correlation_2;MAE;NAME_INCOME_TYPE;50;0,000
correlation_2;MAE;NAME_INCOME_TYPE;25;0,000
correlation_2;MAE;NAME_INCOME_TYPE;10;0,000
correlation_2;MAE;NAME_INCOME_TYPE;0;0,000
correlation_2;MAE;CODE_GENDER;80;0,000
correlation_2;MAE;CODE_GENDER;50;0,000
correlation_2;MAE;CODE_GENDER;25;0,000
correlation_2;MAE;CODE_GENDER;10;0,000
correlation_2;MAE;CODE_GENDER;0;0,000
correlation_2;MAE;AMT_INCOME_TOTAL;80;68249,159
correlation_2;MAE;AMT_INCOME_TOTAL;50;68249,159
correlation_2;MAE;AMT_INCOME_TOTAL;25;68249,159
correlation_2;MAE;AMT_INCOME_TOTAL;10;68249,159
correlation_2;MAE;AMT_INCOME_TOTAL;0;68249,159
correlation_1;MAE;NAME_INCOME_TYPE;80;0,000
correlation_1;MAE;NAME_INCOME_TYPE;50;0,000
correlation_1;MAE;NAME_INCOME_TYPE;25;0,000
correlation_1;MAE;NAME_INCOME_TYPE;10;0,000
correlation_1;MAE;NAME_INCOME_TYPE;0;0,000
correlation_1;MAE;CODE_GENDER;80;0,000
correlation_1;MAE;CODE_GENDER;50;0,000
correlation_1;MAE;CODE_GENDER;25;0,000
correlation_1;MAE;CODE_GENDER;10;0,000
correlation_1;MAE;CODE_GENDER;0;0,000
correlation_1;MAE;AMT_INCOME_TOTAL;80;194648,882
correlation_1;MAE;AMT_INCOME_TOTAL;50;194648,882
correlation_1;MAE;AMT_INCOME_TOTAL;25;194648,882
correlation_1;MAE;AMT_INCOME_TOTAL;10;194648,882
correlation_1;MAE;AMT_INCOME_TOTAL;0;194648,882
median;MAE;AMT_INCOME_TOTAL;80;70067,375
median;MAE;AMT_INCOME_TOTAL;50;70067,375
median;MAE;AMT_INCOME_TOTAL;25;70067,375
median;MAE;AMT_INCOME_TOTAL;10;70067,375
median;MAE;AMT_INCOME_TOTAL;0;70067,375
modus;MAE;NAME_INCOME_TYPE;80;0,000
modus;MAE;NAME_INCOME_TYPE;50;0,000
modus;MAE;NAME_INCOME_TYPE;25;0,000
modus;MAE;NAME_INCOME_TYPE;10;0,000
modus;MAE;NAME_INCOME_TYPE;0;0,000
modus;MAE;CODE_GENDER;80;0,000
modus;MAE;CODE_GENDER;50;0,000
modus;MAE;CODE_GENDER;25;0,000
modus;MAE;CODE_GENDER;10;0,000
modus;MAE;CODE_GENDER;0;0,000
modus;MAE;AMT_INCOME_TOTAL;80;77069,270
modus;MAE;AMT_INCOME_TOTAL;50;77069,270
modus;MAE;AMT_INCOME_TOTAL;25;77069,270
modus;MAE;AMT_INCOME_TOTAL;10;77069,270
modus;MAE;AMT_INCOME_TOTAL;0;77069,270
means;MAE;AMT_INCOME_TOTAL;80;72798,781
means;MAE;AMT_INCOME_TOTAL;50;72798,781
means;MAE;AMT_INCOME_TOTAL;25;72798,781
means;MAE;AMT_INCOME_TOTAL;10;72798,781
means;MAE;AMT_INCOME_TOTAL;0;72798,781
rondom_forest_regression;MSE;AMT_INCOME_TOTAL;80;104513454057,960
rondom_forest_regression;MSE;AMT_INCOME_TOTAL;50;42874262559,947
rondom_forest_regression;MSE;AMT_INCOME_TOTAL;25;19537279941,835
rondom_forest_regression;MSE;AMT_INCOME_TOTAL;10;9994698706,131
rondom_forest_regression;MSE;AMT_INCOME_TOTAL;0;4221629278,815
rondom_forest_classification;MSE;NAME_INCOME_TYPE;80;0,000
rondom_forest_classification;MSE;NAME_INCOME_TYPE;50;0,000
rondom_forest_classification;MSE;NAME_INCOME_TYPE;25;0,000
rondom_forest_classification;MSE;NAME_INCOME_TYPE;10;0,000
rondom_forest_classification;MSE;NAME_INCOME_TYPE;0;0,000
rondom_forest_classification;MSE;CODE_GENDER;80;0,000
rondom_forest_classification;MSE;CODE_GENDER;50;0,000
rondom_forest_classification;MSE;CODE_GENDER;25;0,000
rondom_forest_classification;MSE;CODE_GENDER;10;0,000
rondom_forest_classification;MSE;CODE_GENDER;0;0,000
rondom_forest_classification;MSE;AMT_INCOME_TOTAL;80;18202553388,339
rondom_forest_classification;MSE;AMT_INCOME_TOTAL;50;18720644631,113
rondom_forest_classification;MSE;AMT_INCOME_TOTAL;25;15817041962,059
rondom_forest_classification;MSE;AMT_INCOME_TOTAL;10;10833610492,993
rondom_forest_classification;MSE;AMT_INCOME_TOTAL;0;4860050870,194
correlation_3;MSE;NAME_INCOME_TYPE;80;0,000
correlation_3;MSE;NAME_INCOME_TYPE;50;0,000
correlation_3;MSE;NAME_INCOME_TYPE;25;0,000
correlation_3;MSE;NAME_INCOME_TYPE;10;0,000
correlation_3;MSE;NAME_INCOME_TYPE;0;0,000
correlation_3;MSE;CODE_GENDER;80;0,000
correlation_3;MSE;CODE_GENDER;50;0,000
correlation_3;MSE;CODE_GENDER;25;0,000
correlation_3;MSE;CODE_GENDER;10;0,000
correlation_3;MSE;CODE_GENDER;0;0,000
correlation_3;MSE;AMT_INCOME_TOTAL;80;13578612739,946
correlation_3;MSE;AMT_INCOME_TOTAL;50;13578612739,946
correlation_3;MSE;AMT_INCOME_TOTAL;25;13578612739,946
correlation_3;MSE;AMT_INCOME_TOTAL;10;13578612739,946
correlation_3;MSE;AMT_INCOME_TOTAL;0;13578612739,946
correlation_2;MSE;NAME_INCOME_TYPE;80;0,000
correlation_2;MSE;NAME_INCOME_TYPE;50;0,000
